Level,Name,Code,Parent
Barangay,WASHINGTON (POB.),WNN,SURIGAO CITY
Barangay,ZARAGOZA,ZAG,SURIGAO CITY
Municipality,TAGANA-AN,TGA,SURIGAO DEL NORTE
Barangay,AURORA (POB.),AAO,TAGANA-AN
Barangay,AZUCENA (POB.),AAC,TAGANA-AN
Barangay,BANBAN,BNB,TAGANA-AN
Barangay,CAWILAN,CNI,TAGANA-AN
Barangay,FABIO,FOB,TAGANA-AN
Barangay,HIMAMAUG,HGM,TAGANA-AN
Barangay,LAUREL,LLR,TAGANA-AN
Barangay,LOWER LIBAS,LSL,TAGANA-AN
Barangay,OPONG,OGO,TAGANA-AN
Barangay,PATINO,POI,TAGANA-AN
Barangay,SAMPAGUITA (POB.),SAG,TAGANA-AN
Barangay,TALAVERA,TAV,TAGANA-AN
Barangay,UNION,UNI,TAGANA-AN
Barangay,UPPER LIBAS,USL,TAGANA-AN
Municipality,TUBOD,TBO,SURIGAO DEL NORTE
Barangay,CAPAYAHAN,CNY,TUBOD
Barangay,CAWILAN,CNI,TUBOD
Barangay,DEL ROSARIO,DOS,TUBOD
Barangay,MARGA,MAR,TUBOD
Barangay,MOTORPOOL,MLR,TUBOD
Barangay,POBLACION (TUBOD),PNA,TUBOD
Barangay,SAN ISIDRO,SOS,TUBOD
Barangay,SAN PABLO,SOA,TUBOD
Barangay,TIMAMANA,TAM,TUBOD
Province,SURIGAO DEL SUR,SR1,Region XIII
Municipality,BAROBO,BRO,SURIGAO DEL SUR
Barangay,AMAGA,AAA,BAROBO
Barangay,BAHI,BIH,BAROBO
Barangay,CABACUNGAN,CNU,BAROBO
Barangay,CAMBAGANG,CGA,BAROBO
Barangay,CAUSWAGAN,CNW,BAROBO
Barangay,DAPDAP,DPD,BAROBO
Barangay,DUGHAN,DNH,BAROBO
Barangay,GAMUT,GTM,BAROBO
Barangay,JAVIER,JRI,BAROBO
Barangay,KINAYAN,KNA,BAROBO
Barangay,MAMIS,MSM,BAROBO
Barangay,POBLACION,PNA,BAROBO
Barangay,RIZAL,RLZ,BAROBO
Barangay,SAN JOSE,SEJ,BAROBO
Barangay,SAN ROQUE,SEO,BAROBO
Barangay,SAN VICENTE,SEC,BAROBO
Barangay,SUA,SAU,BAROBO
Barangay,SUDLON,SNL,BAROBO
Barangay,TAMBIS,TSB,BAROBO
Barangay,UNIDAD,UDD,BAROBO
Barangay,WAKAT,WTK,BAROBO
Municipality,BAYABAS,BYA,SURIGAO DEL SUR
Barangay,AMAG,AGA,BAYABAS
Barangay,BALETE (POB.),BEE,BAYABAS
Barangay,CABUGO,COU,BAYABAS
Barangay,CAGBAOTO,COA,BAYABAS
Barangay,LA PAZ,LZP,BAYABAS
Barangay,MAGOBAWOK,MKB,BAYABAS
Barangay,PANAOSAWON,PNS,BAYABAS
Municipality,BISLIG CITY,BSL,SURIGAO DEL SUR
Barangay,BUCTO,BOC,BISLIG CITY
Barangay,BURBOANAN,BNO,BISLIG CITY
Barangay,CAGUYAO,COU,BISLIG CITY
Barangay,COLETO,COE,BISLIG CITY
Barangay,COMAWAS,CSA,BISLIG CITY
Barangay,KAHAYAG,KGA,BISLIG CITY
Barangay,LABISMA,LAI,BISLIG CITY
Barangay,LAWIGAN,LNI,BISLIG CITY
Barangay,MAHARLIKA,MAR,BISLIG CITY
Barangay,MANGAGOY,MYA,BISLIG CITY
Barangay,MONE,MEN,BISLIG CITY
