Level,Name,Code,Parent
Barangay,SAN ISIDRO,SIN,SAN FRANCISCO
Barangay,SANTA ANA,SAN,SAN FRANCISCO
Barangay,TAGAPUA,TAG,SAN FRANCISCO
Municipality,SAN LUIS,SLN,AGUSAN DEL SUR
Barangay,ANISLAGAN,ANI,SAN LUIS
Barangay,BALIT,BAL,SAN LUIS
Barangay,BAYLO,BAY,SAN LUIS
Barangay,BINICALAN,BIN,SAN LUIS
Barangay,CECILIA,CEC,SAN LUIS
Barangay,COALICION,COA,SAN LUIS
Barangay,CULI,CUL,SAN LUIS
Barangay,DIMASALANG,DIM,SAN LUIS
Barangay,DON ALEJANDRO,DAN,SAN LUIS
Barangay,DON PEDRO,DPN,SAN LUIS
Barangay,DOÃ‘A FLAVIA,DFA,SAN LUIS
Barangay,DOÃ‘A MAXIMA,DMA,SAN LUIS
Barangay,MAHAGSAY,MAH,SAN LUIS
Barangay,MAHAPAG,MA1,SAN LUIS
Barangay,MAHAYAHAY,MA2,SAN LUIS
Barangay,MURITULA,MUR,SAN LUIS
Barangay,NUEVO TRABAJO,NTE,SAN LUIS
Barangay,POBLACION,POB,SAN LUIS
Barangay,POLICARPO,POL,SAN LUIS
Barangay,SAN ISIDRO,SIN,SAN LUIS
Barangay,SAN PEDRO,SPN,SAN LUIS
Barangay,SANTA INES,SI1,SAN LUIS
Barangay,SANTA RITA,SRN,SAN LUIS
Barangay,SANTIAGO,SAN,SAN LUIS
Barangay,WEGGUAM,WEG,SAN LUIS
Municipality,SANTA JOSEFA,SJN,AGUSAN DEL SUR
Barangay,ANGAS,ANG,SANTA JOSEFA
Barangay,AURORA,AUR,SANTA JOSEFA
Barangay,AWAO,AWA,SANTA JOSEFA
Barangay,CONCEPCION,CON,SANTA JOSEFA
Barangay,PAG-ASA,PAG,SANTA JOSEFA
Barangay,PATROCINIO,PAT,SANTA JOSEFA
Barangay,POBLACION,POB,SANTA JOSEFA
Barangay,SAN JOSE,SJN,SANTA JOSEFA
Barangay,SANTA ISABEL,SIN,SANTA JOSEFA
Barangay,SAYON,SAY,SANTA JOSEFA
Barangay,TAPAZ,TAP,SANTA JOSEFA
Municipality,SIBAGAT,SIB,AGUSAN DEL SUR
Barangay,AFGA,AFG,SIBAGAT
Barangay,ANAHAWAN,ANA,SIBAGAT
Barangay,BANAGBANAG,BAN,SIBAGAT
Barangay,DEL ROSARIO,DRL,SIBAGAT
Barangay,EL RIO,ERX,SIBAGAT
Barangay,ILIHAN,ILI,SIBAGAT
Barangay,KAUSWAGAN,KAU,SIBAGAT
Barangay,KIOYA,KIO,SIBAGAT
Barangay,KOLAMBUGAN,KOL,SIBAGAT
Barangay,MAGKALAPE,MAG,SIBAGAT
Barangay,MAGSAYSAY,MA1,SIBAGAT
Barangay,MAHAYAHAY,MAH,SIBAGAT
Barangay,NEW TUBIGON,NTW,SIBAGAT
Barangay,PADIAY,PAD,SIBAGAT
Barangay,PEREZ,PER,SIBAGAT
Barangay,POBLACION,POB,SIBAGAT
Barangay,SAN ISIDRO,SIN,SIBAGAT
Barangay,SAN VICENTE,SVN,SIBAGAT
Barangay,SANTA CRUZ,SCN,SIBAGAT
Barangay,SANTA MARIA,SMN,SIBAGAT
Barangay,SINAI,SI1,SIBAGAT
Barangay,TABON-TABON,TAB,SIBAGAT
Barangay,TAG-UYANGO,TAG,SIBAGAT
Barangay,VILLANGIT,VIL,SIBAGAT
Municipality,TALACOGON,TAL,AGUSAN DEL SUR
Barangay,BATUCAN,BAT,TALACOGON
Barangay,BUENAGRACIA,BUE,TALACOGON
Barangay,CAUSWAGAN,CAU,TALACOGON
Barangay,CULI,CUL,TALACOGON
Barangay,DEL MONTE,DML,TALACOGON
Barangay,DESAMPARADOS,DES,TALACOGON
Barangay,LA FLORA,LFX,TALACOGON
Barangay,LABNIG,LAB,TALACOGON
Barangay,MAHARLIKA,MAH,TALACOGON
Barangay,MARBON,MAR,TALACOGON
Barangay,SABANG GIBUNG,SGB,TALACOGON
Barangay,SAN AGUSTIN (POB.),SAN,TALACOGON
Barangay,SAN ISIDRO (POB.),SIN,TALACOGON
Barangay,SAN NICOLAS (POB.),SNN,TALACOGON
Barangay,ZAMORA,ZAM,TALACOGON
Barangay,ZILLOVIA,ZIL,TALACOGON
Municipality,TRENTO,TRE,AGUSAN DEL SUR
Barangay,BASA,BAS,TRENTO
Barangay,CEBOLIN,CEB,TRENTO
Barangay,CUEVAS,CUE,TRENTO
Barangay,KAPATUNGAN,KAP,TRENTO
Barangay,LANGKILA-AN,LAN,TRENTO
Barangay,MANAT,MAN,TRENTO
Barangay,NEW VISAYAS,NVW,TRENTO
Barangay,PANGYAN,PAN,TRENTO
Barangay,POBLACION,POB,TRENTO
Barangay,PULANG-LUPA,PUL,TRENTO
Barangay,SALVACION,SAL,TRENTO
Barangay,SAN IGNACIO,SIN,TRENTO
Barangay,SAN ISIDRO,SI1,TRENTO
Barangay,SAN ROQUE,SRN,TRENTO
Barangay,SANTA MARIA,SMN,TRENTO
Barangay,TUDELA,TUD,TRENTO
Municipality,VERUELA,VER,AGUSAN DEL SUR
Barangay,ANITAP,ANI,VERUELA
Barangay,BACAY II,BIC,VERUELA
Barangay,BINONGAN,BIN,VERUELA
Barangay,CAIGANGAN,CAI,VERUELA
Barangay,CANDIIS,CAN,VERUELA
Barangay,DEL MONTE,DML,VERUELA
Barangay,DON MATEO,DMN,VERUELA
Barangay,KATIPUNAN,KAT,VERUELA
Barangay,LA FORTUNA,LFX,VERUELA
Barangay,LIMOT,LIM,VERUELA
Barangay,MAGSAYSAY,MAG,VERUELA
Barangay,MASAYAN,MAS,VERUELA
Barangay,POBLACION,POB,VERUELA
Barangay,SAMPAGUITA,SAM,VERUELA
Barangay,SAN GABRIEL,SGN,VERUELA
Barangay,SANTA CRUZ,SCN,VERUELA
Barangay,SANTA EMELIA,SEN,VERUELA
Barangay,SAWAGAN,SAW,VERUELA
